M,D,Y,h,m,s,pm,handle,F,RT,O,E
08,20,18,10,24,24,PM,erinjprosser,0,100,False,ChiefSciCan
08,20,18,10,34,17,PM,macleod199,0,100,False,ChiefSciCan
08,20,18,11,18,38,PM,JRyanCS,0,100,False,ChiefSciCan
08,20,18,11,59,01,PM,STUResearch,0,100,False,ChiefSciCan
08,21,18,12,22,53,AM,ShockerAlumni,0,100,False,ChiefSciCan
08,21,18,12,37,10,AM,SoLongMaryLynn,0,100,False,ChiefSciCan
08,21,18,12,40,47,AM,Kimbchemistry,0,100,False,ChiefSciCan
08,21,18,12,51,46,AM,RobynRoscoe,0,100,False,ChiefSciCan
08,21,18,01,16,32,AM,SOS_UNIVERSITE,0,8,False,SciChefCan
08,21,18,01,37,12,AM,nafisajadavji,0,100,False,ChiefSciCan
08,21,18,01,37,21,AM,SdSankey,0,100,False,ChiefSciCan
08,21,18,01,38,05,AM,DrCChambers,0,100,False,ChiefSciCan
08,21,18,01,40,39,AM,ScienceMarchYVR,0,100,False,ChiefSciCan
08,21,18,04,21,12,AM,seamap,0,100,False,ChiefSciCan
08,21,18,04,23,26,AM,FrancoiseBaylis,0,100,False,ChiefSciCan
08,21,18,09,47,32,AM,TurculetChem,0,100,False,ChiefSciCan
08,21,18,11,34,15,AM,Shylloo,0,100,False,ChiefSciCan
08,21,18,11,58,58,AM,flatt99,0,100,False,ChiefSciCan
08,21,18,12,00,25,PM,elite_pk,0,100,False,ChiefSciCan
08,21,18,12,06,32,PM,scigirlsash,0,100,False,ChiefSciCan
08,21,18,12,35,20,PM,Monica_E_G,0,100,False,ChiefSciCan
08,21,18,12,43,00,PM,michayoub,0,100,False,ChiefSciCan
08,21,18,01,24,52,PM,CAUT_ACPPU,0,100,False,ChiefSciCan
08,21,18,02,37,33,PM,teachdigitalLAB,0,100,False,ChiefSciCan
08,21,18,02,48,42,PM,awilson_WLU,0,100,False,ChiefSciCan
08,21,18,03,05,22,PM,cafaab,0,100,False,ChiefSciCan
08,21,18,03,11,55,PM,ella_bowles_82,0,100,False,ChiefSciCan
08,21,18,03,28,16,PM,RebelGeo,0,100,False,ChiefSciCan
08,21,18,03,30,04,PM,LiisaGalea,0,100,False,ChiefSciCan
08,21,18,03,51,18,PM,womensresearch,0,100,False,ChiefSciCan
08,21,18,04,21,27,PM,LindsaySill,0,100,False,ChiefSciCan
08,21,18,04,47,44,PM,Scienceadvice,0,100,False,ChiefSciCan
08,21,18,04,48,29,PM,SOSCIP_Research,0,2,False,ComputeOntario
08,21,18,05,28,02,PM,EdenHennessey,0,100,False,ChiefSciCan
08,21,18,06,05,44,PM,ideas_idees,0,100,False,ChiefSciCan
08,21,18,07,34,42,PM,juliepoupart,0,100,False,ChiefSciCan
08,21,18,07,35,24,PM,CAN_ACN,0,100,False,ChiefSciCan
08,21,18,07,43,23,PM,DrEpid,6,0,True,
08,21,18,08,04,50,PM,EmTumilty,0,100,False,ChiefSciCan
08,21,18,09,20,54,PM,mhscience,0,100,False,ChiefSciCan
08,21,18,11,59,37,PM,2018HeartSummit,0,100,False,ChiefSciCan
08,22,18,12,03,32,AM,JSSBennett,0,112,False,ChiefSciCan
08,22,18,02,34,06,AM,MaureenMcTeer,0,112,False,ChiefSciCan
08,22,18,10,48,22,AM,samanthamrae,0,112,False,ChiefSciCan
08,22,18,10,53,35,AM,skettley,0,112,False,ChiefSciCan
08,22,18,01,55,25,PM,vote_no_body,0,112,False,ChiefSciCan
08,22,18,09,40,48,PM,MacEwanResearch,0,112,False,ChiefSciCan
08,23,18,08,14,13,PM,WestGrid,0,112,False,ChiefSciCan
08,24,18,06,33,06,PM,enniscath,0,112,False,ChiefSciCan
08,24,18,06,36,40,PM,grantsfacilitat,0,112,False,ChiefSciCan
08,25,18,11,48,47,AM,ScienceMarchTO,0,112,False,ChiefSciCan
08,25,18,06,38,36,PM,VirveAljas,0,112,False,ChiefSciCan
08,25,18,08,50,26,PM,dupuisj,0,112,False,ChiefSciCan
08,25,18,10,23,00,PM,jambina,0,112,False,ChiefSciCan
08,27,18,05,35,20,PM,SMCCanada,0,112,False,ChiefSciCan
08,27,18,05,56,18,PM,darekmoreau,0,112,False,ChiefSciCan
08,31,18,05,12,38,PM,MattMcTaggart,0,1,True,
08,31,18,05,34,45,PM,genevi_ferguson,0,1,False,MattMcTaggart
09,10,18,12,39,28,PM,MattMcTaggart,15,6,True,
09,10,18,12,47,28,PM,MattMcTaggart,0,1,True,
09,10,18,01,14,33,PM,MattMcTaggart,0,2,True,
09,10,18,02,02,14,PM,RachAelCMaxwell,0,1,False,MattMcTaggart
09,10,18,02,02,15,PM,RachAelCMaxwell,0,2,False,MattMcTaggart
09,10,18,06,36,53,PM,R_mmoore,0,6,False,MattMcTaggart
09,10,18,06,38,59,PM,robannan,0,6,False,MattMcTaggart
09,10,18,06,40,43,PM,E4Dca,0,6,False,MattMcTaggart
09,10,18,08,40,15,PM,genevi_ferguson,0,6,False,MattMcTaggart
09,10,18,08,40,20,PM,genevi_ferguson,0,2,False,MattMcTaggart
09,11,18,03,07,09,AM,JSSBennett,0,6,False,MattMcTaggart
09,11,18,05,20,14,AM,vote_no_body,0,6,False,MattMcTaggart
09,11,18,11,44,19,AM,MattMcTaggart,1,0,True,
09,10,18,12,39,28,PM,MattMcTaggart,15,6,True,
09,10,18,12,47,28,PM,MattMcTaggart,0,1,True,
09,10,18,01,14,33,PM,MattMcTaggart,0,2,True,
09,10,18,02,02,14,PM,RachAelCMaxwell,0,1,False,MattMcTaggart
09,10,18,02,02,15,PM,RachAelCMaxwell,0,2,False,MattMcTaggart
09,10,18,06,36,53,PM,R_mmoore,0,6,False,MattMcTaggart
09,10,18,06,38,59,PM,robannan,0,6,False,MattMcTaggart
09,10,18,06,40,43,PM,E4Dca,0,6,False,MattMcTaggart
09,10,18,08,40,15,PM,genevi_ferguson,0,6,False,MattMcTaggart
09,10,18,08,40,20,PM,genevi_ferguson,0,2,False,MattMcTaggart
09,11,18,03,07,09,AM,JSSBennett,0,6,False,MattMcTaggart
09,11,18,05,20,14,AM,vote_no_body,0,6,False,MattMcTaggart
09,11,18,11,44,19,AM,MattMcTaggart,1,0,True,
09,12,18,08,15,15,PM,sciencepolicy,2,1,True,
09,12,18,09,51,42,PM,Cate_Maybrey,0,1,False,sciencepolicy
09,13,18,01,14,25,PM,MattMcTaggart,0,1,True,
09,13,18,01,54,05,PM,genevi_ferguson,0,1,False,MattMcTaggart
09,13,18,05,45,15,PM,sciencepolicy,1,1,True,
09,13,18,06,04,01,PM,MattMcTaggart,0,1,False,sciencepolicy
09,14,18,02,00,06,AM,MattMcTaggart,2,0,True,
09,26,18,09,12,12,PM,MattMcTaggart,5,0,True,
09,30,18,11,50,25,PM,MattMcTaggart,2,1,True,
10,01,18,01,26,11,AM,terrycampbell01,0,1,False,MattMcTaggart
10,01,18,08,06,06,PM,Kin_Kuok,1,0,True,
10,04,18,08,47,04,PM,AlbrechtS_H,44,5,True,
10,04,18,09,14,38,PM,CSEE_SCEE,0,5,False,AlbrechtS_H
10,05,18,03,44,48,AM,dawnbazely,0,5,False,AlbrechtS_H
10,05,18,01,09,52,PM,ResearchLUL,0,5,False,AlbrechtS_H
10,05,18,06,16,45,PM,MattMcTaggart,1,0,True,
10,05,18,07,54,11,PM,Science_Comm,0,5,False,AlbrechtS_H
10,10,18,12,10,45,PM,MattMcTaggart,0,5,False,AlbrechtS_H
10,16,18,01,24,14,PM,AlbrechtS_H,2,0,True,
10,24,18,08,20,02,PM,Kin_Kuok,1,0,True,
10,31,18,12,41,36,AM,MattMcTaggart,8,1,True,
10,31,18,01,48,54,PM,AlbrechtS_H,0,1,False,MattMcTaggart
10,31,18,03,55,17,PM,sciencepolicy,4,1,True,
10,31,18,04,10,39,PM,ImogenRCoePhD,0,1,False,sciencepolicy
11,01,18,01,30,34,PM,sciencepolicy,19,5,True,
11,01,18,01,50,48,PM,MattMcTaggart,0,5,False,sciencepolicy
11,01,18,02,19,52,PM,Kin_Kuok,0,5,False,sciencepolicy
11,01,18,08,57,42,PM,ScienceAU,37,10,True,
11,01,18,09,07,21,PM,CorruptNSW,0,10,False,ScienceAU
11,02,18,12,17,09,AM,sciencepolicy,0,10,False,ScienceAU
11,02,18,12,19,18,AM,MU_Peter,0,10,False,ScienceAU
11,02,18,01,46,06,AM,ScottWilkie1215,0,5,False,sciencepolicy
11,02,18,10,30,20,AM,ACBDresearch,0,10,False,ScienceAU
11,02,18,12,58,57,PM,ImogenRCoePhD,0,5,False,sciencepolicy
11,02,18,03,51,05,PM,AlbrechtS_H,14,1,True,
11,02,18,04,14,57,PM,ResearchLUL,0,1,False,AlbrechtS_H
11,02,18,04,57,28,PM,Ha_Tanya,0,5,False,sciencepolicy
11,02,18,05,05,17,PM,sciencepolicy,12,1,True,
11,02,18,06,10,08,PM,AlbrechtS_H,10,0,True,
11,02,18,10,48,19,PM,AlbrechtS_H,0,0,True,
11,03,18,03,54,44,PM,jackie_dawson,0,1,False,sciencepolicy
11,03,18,04,07,36,PM,KinChanPhD,8,2,True,
11,03,18,06,08,40,PM,DowneyUOttawa,0,2,False,KinChanPhD
11,03,18,10,48,32,PM,terrycampbell01,0,2,False,KinChanPhD
11,04,18,12,20,40,AM,JeremyBrownlie,24,1,True,
11,04,18,12,36,54,AM,Ha_Tanya,0,1,False,JeremyBrownlie
11,04,18,03,54,11,AM,ScienceAU,16,3,True,
11,04,18,04,15,36,AM,maryadevera,0,113,False,ChiefSciCan
11,04,18,04,29,20,AM,maryadevera,15,1,True,
11,04,18,05,30,04,AM,SciGenderEquity,0,10,False,ScienceAU
11,04,18,05,37,27,AM,OzCvA,0,10,False,ScienceAU
11,04,18,06,07,04,AM,rebeccahritchie,0,10,False,ScienceAU
11,04,18,06,10,06,AM,rebeccahritchie,0,3,False,ScienceAU
11,04,18,07,28,55,AM,Ha_Tanya,0,10,False,ScienceAU
11,04,18,04,18,43,PM,MeghanAzad,23,2,True,
11,04,18,05,13,25,PM,sciencepolicy,0,3,False,ScienceAU
11,04,18,07,50,56,PM,trushar_7,13,2,True,
11,04,18,07,50,58,PM,AlbrechtS_H,11,0,True,
11,04,18,08,51,31,PM,cmarraotago,0,1,False,maryadevera
11,04,18,10,21,15,PM,arrti_rna,0,2,False,trushar_7
11,04,18,11,02,14,PM,LindaGinger,0,10,False,ScienceAU
11,05,18,12,29,57,AM,AlbrechtS_H,2,0,True,
11,05,18,03,04,39,AM,cole_burton,23,0,True,
11,05,18,03,23,59,AM,AlbrechtS_H,17,0,True,
11,05,18,03,39,38,AM,JaniceBailey6,0,2,False,MeghanAzad
11,05,18,03,46,12,AM,MeghanAzad,15,4,True,
11,05,18,03,48,33,AM,_open_science_,0,4,False,MeghanAzad
11,05,18,03,49,07,AM,hjwieden,0,2,False,trushar_7
11,05,18,03,52,20,AM,DrChristinaWest,0,4,False,MeghanAzad
11,05,18,04,02,50,AM,MattMcTaggart,0,4,False,MeghanAzad
11,05,18,04,23,54,AM,AlbrechtS_H,2,0,True,
11,05,18,12,06,48,PM,MattMcTaggart,49,13,True,
11,05,18,12,07,17,PM,oneworldbirth,0,2,False,MeghanAzad
11,05,18,12,25,11,PM,MeghanAzad,2,0,True,
11,05,18,12,37,43,PM,IOGca,0,13,False,MattMcTaggart
11,05,18,12,43,42,PM,IOGca,7,2,True,
11,05,18,12,59,56,PM,MattMcTaggart,11,5,True,
11,05,18,01,28,02,PM,stabrennan,0,4,False,MeghanAzad
11,05,18,02,10,22,PM,sciencepolicy,7,1,True,
11,05,18,02,20,37,PM,ValorieCrooks,2,0,True,
11,05,18,02,44,15,PM,ValorieCrooks,35,2,True,
11,05,18,02,45,10,PM,marco_zenone,0,2,False,ValorieCrooks
11,05,18,03,18,22,PM,AlbrechtS_H,9,0,True,
11,05,18,03,31,25,PM,cole_burton,0,13,False,MattMcTaggart
11,05,18,03,37,35,PM,adamthomasford,16,4,True,
11,05,18,03,55,26,PM,MeghanAzad,25,4,True,
11,05,18,04,13,52,PM,Kin_Kuok,0,13,False,MattMcTaggart
11,05,18,04,23,29,PM,ValorieCrooks,43,6,True,
11,05,18,04,42,08,PM,adamthomasford,7,0,True,
11,05,18,04,44,12,PM,sparkyofAlberta,0,4,False,adamthomasford
11,05,18,05,10,35,PM,AlbrechtS_H,0,13,False,MattMcTaggart
11,05,18,05,20,12,PM,sung_vanessa,42,6,True,
11,05,18,05,28,22,PM,AlbrechtS_H,10,0,True,
11,05,18,05,30,09,PM,CanGeographers,0,6,False,ValorieCrooks
11,05,18,05,30,50,PM,ResearchCda,9,1,True,
11,05,18,05,31,52,PM,AlbrechtS_H,9,3,True,
11,05,18,05,34,46,PM,ValorieCrooks,7,0,True,
11,05,18,05,35,18,PM,IvaCheung,0,6,False,ValorieCrooks
11,05,18,05,39,34,PM,SarSarSpaghett,0,6,False,ValorieCrooks
11,05,18,05,49,54,PM,ShahadKhalladi,19,0,True,
11,05,18,05,53,14,PM,sung_vanessa,37,8,True,
11,05,18,06,47,41,PM,akaida,30,4,True,
11,05,18,06,48,17,PM,ValorieCrooks,0,4,False,akaida
11,05,18,06,50,57,PM,cole_burton,20,4,True,
11,05,18,07,12,22,PM,Aminmassawe,0,4,False,akaida
11,05,18,07,17,04,PM,sciencepolicy,0,6,False,sung_vanessa
11,05,18,07,18,43,PM,SFUResearch,12,5,True,
11,05,18,07,19,55,PM,MeghanAzad,0,4,False,cole_burton
11,05,18,07,21,07,PM,drjoyjohnson,0,5,False,SFUResearch
11,05,18,07,21,57,PM,DuganOneil,0,5,False,SFUResearch
11,05,18,07,22,19,PM,MeghanAzad,29,2,True,
11,05,18,07,23,08,PM,WestGrid,0,5,False,SFUResearch
11,05,18,07,28,31,PM,Demographer_Bob,0,4,False,akaida
11,05,18,07,31,41,PM,SFUENV,6,0,True,
11,05,18,07,35,08,PM,ImogenRCoePhD,0,13,False,MattMcTaggart
11,05,18,07,36,06,PM,catherinemah,0,13,False,MattMcTaggart
11,05,18,07,36,20,PM,AlbrechtS_H,2,0,True,
11,05,18,07,38,34,PM,gruzd,0,6,False,sung_vanessa
11,05,18,07,38,54,PM,R_mmoore,17,3,True,
11,05,18,07,38,55,PM,LeahJurkovic,7,0,True,
11,05,18,07,39,07,PM,LeahJurkovic,0,3,False,R_mmoore
11,05,18,07,41,15,PM,R_mmoore,2,3,True,
11,05,18,07,42,05,PM,R_mmoore,0,13,False,MattMcTaggart
11,05,18,07,42,11,PM,clearerworld,0,6,False,ValorieCrooks
11,05,18,07,44,07,PM,AlbrechtS_H,7,1,True,
11,05,18,07,44,51,PM,_open_science_,0,3,False,R_mmoore
11,05,18,07,45,32,PM,ScicommBot,0,3,False,R_mmoore
11,05,18,07,45,33,PM,MeghanAzad,3,0,True,
11,05,18,07,46,35,PM,IOGca,5,0,True,
11,05,18,07,47,05,PM,adamthomasford,0,3,False,AlbrechtS_H
11,05,18,07,52,30,PM,sfu_library,0,5,False,SFUResearch
11,05,18,07,55,05,PM,maryadevera,0,13,False,MattMcTaggart
11,05,18,07,57,09,PM,scilitweek,14,1,True,
11,05,18,07,58,24,PM,LeahJurkovic,0,3,False,R_mmoore
11,05,18,07,58,56,PM,ScienceMarchQC,0,1,False,scilitweek
11,05,18,08,03,24,PM,R_mmoore,4,0,True,
11,05,18,08,03,56,PM,AlbrechtS_H,0,8,False,sung_vanessa
11,05,18,08,07,06,PM,catherinemah,12,6,True,
11,05,18,08,07,39,PM,DalPres,0,6,False,catherinemah
11,05,18,08,07,44,PM,electrifiedshel,17,0,True,
11,05,18,08,09,35,PM,R_mmoore,8,2,True,
11,05,18,08,14,33,PM,MeghanAzad,6,0,True,
11,05,18,08,15,14,PM,AlbrechtS_H,5,1,True,
11,05,18,08,15,29,PM,CBFraoch,6,1,True,
11,05,18,08,16,31,PM,MeghanAzad,13,3,True,
11,05,18,08,18,10,PM,MeghanAzad,0,1,False,CBFraoch
11,05,18,08,18,43,PM,GenomeCanada,0,1,False,sciencepolicy
11,05,18,08,19,53,PM,_open_science_,0,3,False,MeghanAzad
11,05,18,08,20,49,PM,AlbrechtS_H,0,2,False,MeghanAzad
11,05,18,08,20,51,PM,ChiefSciCan,149,42,True,
11,05,18,08,20,56,PM,Radar_Science,0,3,False,MeghanAzad
11,05,18,08,21,19,PM,terrycampbell01,0,13,False,MattMcTaggart
11,05,18,08,22,19,PM,SciChefCan,15,3,True,
11,05,18,08,22,28,PM,MeghanAzad,33,11,True,
11,05,18,08,23,09,PM,MeghanAzad,0,42,False,ChiefSciCan
11,05,18,08,24,53,PM,JimJohnsonSci,0,11,False,MeghanAzad
11,05,18,08,25,32,PM,telfordk,0,4,False,MeghanAzad
11,05,18,08,26,14,PM,gruzd,20,2,True,
11,05,18,08,26,18,PM,TinkaOpala,0,4,False,MeghanAzad
11,05,18,08,26,35,PM,KSP_Libs,0,4,False,MeghanAzad
11,05,18,08,27,25,PM,LeahJurkovic,0,13,False,MattMcTaggart
11,05,18,08,27,26,PM,akaida,35,8,True,
11,05,18,08,28,48,PM,LeahJurkovic,0,3,False,MeghanAzad
11,05,18,08,30,36,PM,MattMcTaggart,0,42,False,ChiefSciCan
11,05,18,08,31,09,PM,MattMcTaggart,0,8,False,sung_vanessa
11,05,18,08,31,20,PM,MattMcTaggart,0,4,False,cole_burton
11,05,18,08,31,37,PM,psicsierra,0,11,False,MeghanAzad
11,05,18,08,31,38,PM,gruzd,0,8,False,akaida
11,05,18,08,33,37,PM,MattMcTaggart,12,2,True,
11,05,18,08,35,01,PM,cole_burton,9,3,True,
11,05,18,08,39,01,PM,WestGrid,0,42,False,ChiefSciCan
11,05,18,08,40,21,PM,uOttawa_SEPH,0,42,False,ChiefSciCan
11,05,18,08,43,14,PM,cole_burton,9,2,True,
11,05,18,08,43,24,PM,akaida,0,3,False,cole_burton
11,05,18,08,44,56,PM,JohnstonPari,16,3,True,
11,05,18,08,44,59,PM,AlbrechtS_H,18,6,True,
11,05,18,08,45,42,PM,ShahadKhalladi,0,42,False,ChiefSciCan
11,05,18,08,46,12,PM,sciencepolicy,0,8,False,akaida
11,05,18,08,47,56,PM,sciencepolicy,0,3,False,cole_burton
11,05,18,08,48,46,PM,sciencepolicy,0,3,False,JohnstonPari
11,05,18,08,48,47,PM,univcan,0,3,False,JohnstonPari
11,05,18,08,49,49,PM,sciencepolicy,0,6,False,AlbrechtS_H
11,05,18,08,50,04,PM,CemmaM,69,17,True,
11,05,18,08,50,43,PM,ShahadKhalladi,0,17,False,CemmaM
11,05,18,08,51,44,PM,Kin_Kuok,5,0,True,
11,05,18,08,51,45,PM,MeghanAzad,5,0,True,
11,05,18,08,52,06,PM,univcan,0,42,False,ChiefSciCan
11,05,18,08,52,40,PM,ChristianBaron,0,42,False,ChiefSciCan
11,05,18,08,52,49,PM,ChristianBaron,0,3,False,SciChefCan
11,05,18,08,53,22,PM,AlbrechtS_H,0,42,False,ChiefSciCan
11,05,18,08,53,36,PM,LiberEroFellows,0,6,False,AlbrechtS_H
11,05,18,08,53,46,PM,LiberEroFellows,0,3,False,AlbrechtS_H
11,05,18,08,53,49,PM,LiberEroFellows,0,4,False,adamthomasford
11,05,18,08,54,56,PM,akaida,5,10,True,
11,05,18,08,55,35,PM,prousebrigid,0,42,False,ChiefSciCan
11,05,18,08,57,13,PM,Aminmassawe,0,10,False,akaida
11,05,18,08,57,55,PM,alicetsp,0,8,False,akaida
11,05,18,08,58,27,PM,trushar_7,0,6,False,sung_vanessa
11,05,18,08,58,48,PM,catherinemah,16,2,True,
11,05,18,09,00,13,PM,KinChanPhD,17,0,True,
11,05,18,09,00,44,PM,DrCChambers,0,6,False,catherinemah
11,05,18,09,01,09,PM,catherinemah,0,10,False,akaida
11,05,18,09,01,24,PM,catherinemah,0,42,False,ChiefSciCan
11,05,18,09,01,46,PM,salexander_11,0,5,False,MattMcTaggart
11,05,18,09,03,28,PM,trushar_7,15,1,True,
11,05,18,09,04,14,PM,arrti_rna,0,1,False,trushar_7
11,05,18,09,04,34,PM,ChatrLab,0,11,False,MeghanAzad
11,05,18,09,04,44,PM,akaida,4,2,True,
11,05,18,09,05,06,PM,Kin_Kuok,0,17,False,CemmaM
11,05,18,09,05,22,PM,DrCChambers,0,2,False,catherinemah
11,05,18,09,05,35,PM,DrCChambers,0,17,False,CemmaM
11,05,18,09,05,46,PM,DrCChambers,0,2,False,cole_burton
11,05,18,09,05,56,PM,DrCChambers,0,8,False,akaida
11,05,18,09,06,17,PM,DrCChambers,0,42,False,ChiefSciCan
11,05,18,09,08,52,PM,Gwendolyn_MG,6,0,True,
11,05,18,09,12,12,PM,sciencepolicy,0,42,False,ChiefSciCan
11,05,18,09,12,30,PM,tdbhate,15,1,True,
11,05,18,09,12,31,PM,CemmaM,16,2,True,
11,05,18,09,12,37,PM,avinnitchok,0,11,False,MeghanAzad
11,05,18,09,12,46,PM,sciencepolicy,0,10,False,akaida
11,05,18,09,13,55,PM,AlbrechtS_H,6,1,True,
11,05,18,09,14,35,PM,R_mmoore,13,3,True,
11,05,18,09,14,52,PM,trushar_7,0,1,False,tdbhate
11,05,18,09,15,08,PM,yamatho2,0,3,False,R_mmoore
11,05,18,09,17,05,PM,tedhsu,0,2,False,CemmaM
11,05,18,09,17,24,PM,tedhsu,0,2,False,R_mmoore
11,05,18,09,18,02,PM,this_is_farah,0,5,False,MattMcTaggart
11,05,18,09,18,17,PM,_open_science_,0,3,False,R_mmoore
11,05,18,09,19,27,PM,USAExpress174,0,1,True,
11,05,18,09,20,45,PM,devinbaines,0,2,False,R_mmoore
11,05,18,09,22,59,PM,stognazzini,0,10,False,akaida
11,05,18,09,24,22,PM,USAExpress174,0,1,True,
11,05,18,09,25,50,PM,tedhsu,0,6,False,AlbrechtS_H
11,05,18,09,25,56,PM,PhMai,17,4,True,
11,05,18,09,26,00,PM,IOGca,9,2,True,
11,05,18,09,26,05,PM,PhMai,0,5,False,MattMcTaggart
11,05,18,09,26,19,PM,MeghanAzad,0,10,False,akaida
11,05,18,09,27,07,PM,ValorieCrooks,0,10,False,akaida
11,05,18,09,35,11,PM,catherinemah,16,3,True,
11,05,18,09,36,01,PM,USAExpress174,0,0,True,
11,05,18,09,37,39,PM,USAExpress174,0,1,False,USAExpress174
11,05,18,09,37,43,PM,USAExpress174,0,1,False,USAExpress174
11,05,18,09,50,24,PM,JohnstonPari,0,8,False,sung_vanessa
11,05,18,09,56,16,PM,chase_study,0,11,False,MeghanAzad
11,05,18,10,01,11,PM,DrCChambers,0,4,False,PhMai
11,05,18,10,01,44,PM,katiegibbs,0,13,False,MattMcTaggart
11,05,18,10,02,32,PM,jiayingzhao,16,1,True,
11,05,18,10,05,47,PM,univcan,0,17,False,CemmaM
11,05,18,10,06,06,PM,AbdullahJamir,1,0,True,
11,05,18,10,11,38,PM,BourgeoisDoyle,1,0,True,
11,05,18,10,19,20,PM,gruzd,0,4,False,PhMai
11,05,18,10,20,25,PM,AbdullahJamir,1,0,True,
11,05,18,10,20,34,PM,R_mmoore,16,1,True,
